ID|REDUMP_NAME
SLPS-00830|Ace Combat 2 (Japan)
SLUS-00404|Ace Combat 2 (USA)
SCES-02066|Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)
SLPS-02020|Ace Combat 3 - Electrosphere (Japan) (Disc 1)
SLPS-02021|Ace Combat 3 - Electrosphere (Japan) (Disc 2)
SLUS-00972|Ace Combat 3 - Electrosphere (USA)
SLPM-80453|Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan)
SLPS-02119|Acid (Japan)
SLPM-80430|Acid (Japan) (Demo)
SLPM-86589|Acid (Japan) (Major Wave)
SCPS-10131|Aconcagua (Japan) (Disc 1)
SCPS-10132|Aconcagua (Japan) (Disc 2)
SLES-03105|Action Bass (Europe)
SLPM-86927|Action Bass (Japan)
SLUS-01248|Action Bass (USA)
SLES-03083|Action Man - Destruction X (Europe) (En,Fr,De,Es,It)
SLES-01761|Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
SLUS-00887|Action Man - Operation Extreme (USA)
SLUS-00777|Activision Classics (USA)
SLES-00015|Actua Golf (Europe) (En,Fr,De)
SLPS-00298|Actua Golf (Japan)
SLES-00044|Actua Golf 2 (Europe)
SLES-01042|Actua Golf 3 (Europe)
SLES-00188|Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)
SLPM-86078|Actua Ice Hockey (Japan)
SLES-01226|Actua Ice Hockey 2 (Europe)
SLES-01647|Actua Pool (Europe)
SLES-00014|Actua Soccer (Europe) (En,Fr)
SLPS-00297|Actua Soccer (Japan)
SLES-00190|Actua Soccer - Club Edition (Europe)
SLES-00021|Actua Soccer 2 (Europe) (En,Fr)
SLES-01029|Actua Soccer 2 (Germany) (En,De)
SLES-01028|Actua Soccer 2 (Italy)
SLES-01210|Actua Soccer 3 (Europe)
SLES-01644|Actua Soccer 3 (France)
SLES-01645|Actua Soccer 3 (Germany)
SLES-01646|Actua Soccer 3 (Italy)
