ID|CRC32|MD5|SHA1
SCES-00657|8113545e|c724176cdc1d2f6b11116c4abf78f69|bbf7fae6a5892756c26e83b53c0ff25c8aebb015
SLES-03551|dad75ce7|fb60291f3b9128ad684b30b0e6b2163c|54e6fc936ded7ae7b573642ff2495086841f8227
SLES-03334|7c851a5c|2ff35198e0efe042bf19c4927b6300e8|89b1ef1610a2c4671254c531091d9dd9d5e5c282
SLES-00442|4e9900f2|b23686af0f6b5142ac86ccbb62647df2|6b11eb99c5b4f2b0dde892cb1882827a356dc901
SLES-02055|674399e7|22d39408b9ac5cdc6b5e1a3b5d65836f|2fb3f2de7e31e33926b6743ed9e9ab9346bbcb98
SCES-01330|ddd43552|767af0b42b48755f33239c264e216aa2|fe8b90464e47c19cb9cfe86f858803329ec9a6fd
SCES-00255|c434dedb|c38bc7fe400042a0b2970fed006d3dff|fb593143259da72cb5dfa8a0f9df32f26a702e72
SCES-02685|8f2e127d|3ea1b8f62b87d5b27c717c6ca7810245|8a997fe955bff9467c02944da831932fe2e93ab4
SLES-00935|d779c876|7239b0767d904fa5c7ce8ca692e3641b|67ea732d9a68ce5f7b0c6bd315c2d440bba795ce
SCES-00005|69f3e286|499ae7860e619a2259d84ace9826ad45|dbd00aa58d1525e164610e54e53265f2130ca3c
SLES-00718|549bdb40|4b89465a0561707ca36c519384bedd74|4e78c2bd8360a44d8b34545d4080d6338a5318a
SLES-02572|b0c6c6db|6b463efc66b826c204b9ab13505fab16|ff3b49bbfd4da34aadd794b513d2e529fdf0e040
SCES-01237|8606a2f4|71432427e376b9717ec142e018f3a448|8a4fde8ca631597cbd6c2b9e447576d50aa0a52a
SLES-00224|9d17a5a5|7913d532f9814619dc850922859bb8a7|726b49f1b5b698fb2c849b8d872a3ea4a38b13e8
SLES-03955|f0d81511|eeedb0780a228f80107d77f757db3702|9803221730624862efd61ce1d99a7d74ec4706d7
SLES-00486|cca538d4|38131e9e1a308d4eeab4c80d016a8367|b4e67cec376472d82539a422aeb38b53f8e86fc3
SLES-00052|87ec7cde|328390d6fb74878dd32731764f544ae0|4264f8765499b750d6ce1ff1f8faed3baf1ad5fa
SLES-00024|7715da35|893f5a736a6f44abd05ae849d46581c0|95db2c4cc925b61857d2e53c6b292c49235b9a3a
SLES-00720|8ab17999|4ee8020aeb442c69cac41d932332d5db|f7cef5b875ba657dce9eb0e277c4d68a4af50eff
SLES-02927|6365f9a9|9a7401b5ac1c606d647fbd35d0edb842|ab80eaf7c08727de9b995771ed4776052720f759
SLES-00376|fe39533e|21cdf7b959b0e59ba277821bb9e8a7a7|30bbeea1be0b487b91b8107911183ae5260c6ded
SLES-03547|143e33de|3d3ef646a22d71c48618dc02543652a4|b89ab580cb13be920e975146ab98d8fe91fcd83c
SLES-01542|dbf6cfb7|a2ed7f709bf834b1294c9f9c3b92376f|9077c4847018d6de3b0e55bbe019522539cd27ba
SLES-02240|aa887422|934556071cd58bed28f4575c02aea6c1|1f8086f94b64e4b850d5309bf1e178dffc71cb3
SCES-02776|c0bab418|6285f0024eaf1a23b7cbff4c8bfe1599|ccc3f197b31147e31b1c52e813ae41915708d4e0
SLES-00627|2e85ebb4|7175ce31639ce0753789eb92ea269f5d|b7121d56a1358207479418abb2c9cd4ba22903b4
SLES-00152|8b5b4ebf|a978a76d2e38167b54c5e4c13a34bf4a|70b9f1cde9b6da0662786c129abba0515153833f
SLES-02340|6ec58c2e|5fcc259bbe122934853f056b3e207c0f|391f9d59c46e0236a0a68f2d69fdefdae1f8acbe
SLES-02910|8a30ffa8|b414124b2356e7d3633ab8f250ccc8b8|fe72e6bd9d3315eabe8b610a41d8f1b259d29e43
SLES-04062|9a049c02|a6de7f24557dafd22869a7a32df618bc|ca86f444ce4d9348fab6be20e5832ccc2af4b605
SLES-01281|fd3e38dc|291d969a3b058d86fdd97a85897f9ecf|5f6142c1ba3d7b2b854a9e25e7ea3d37e2622333
SLES-01981|3a8d5f69|14230984b8cb4e2fb3386358665af6e4|763cd917258c00aba2a4b0032bded5c18dd71dc5
SLES-02214|a0b9f8ce|6aa4097906456ccafd927229ef43e5b8|c62c7d47eed555633fde267db549fac701cb1947
SLES-03513|57131f13|c6e97af94619d35f8ac86ad249912929|2b98e0c8f591ee9cfdc7804ea23384395b60a81d
SLES-10463|2f5b93f3|66828586b3a6ab2d07abe9345d4aa125|3792e019c6d059cd4444b6ac458d05b91a7f737a
SLES-03662|95393b16|7e0feef266f136676db63efd12abdefa|d4bd6e11086525f065b4217db5d3057f285d0719
SLES-00463|42da96d3|8a41133b168568bc56e03b002fa7143|1d465a036f030e6b3c9a28f0252b721a3f056e8f
SLES-01807|f86cba5d|11527fd3b99034f8d2e0ee5f5d65dff0|3cf2f812280f38870571c726aa9b5eed35099e3b
